comparison,control_id,hebrew,first_reference,first_value,first_base12,full_value,full_base12,first_palindrome,full_palindrome,completion_hit
all_three_word_controls,C0212139,כי ידעתי כי,2Sam.1.10,30,26,554,3A2,no,no,no
all_three_word_controls,C0212175,כי יראתי כי,Gen.31.31,30,26,681,489,no,no,no
all_three_word_controls,C0212300,כי נחמתי כי,Gen.6.7,30,26,568,3B4,no,no,no
all_three_word_controls,C0212386,כי ראיתי כי,1Sam.13.11,30,26,681,489,no,no,no
all_three_word_controls,C0212449,כי תשמחי כי,Jer.50.11,30,26,818,582,no,no,no
all_three_word_controls,C0212539,כל בכורי כל,Ezek.44.30,50,42,338,242,no,yes,yes
all_three_word_controls,C0212675,כל ישרתי כל,Ps.119.128,50,42,1020,710,no,no,no
all_three_word_controls,C0212707,כל מצותי כל,Deut.5.29,50,42,646,45A,no,no,no
all_three_word_controls,C0212710,כל נביאו כל,2Kgs.17.13,50,42,169,121,no,yes,yes
all_three_word_controls,C0212744,כל פקודי כל,Ps.119.128,50,42,300,210,no,no,no
all_three_word_controls,C0213508,לה ויקרא לה,2Kgs.4.15,35,2B,387,283,no,no,no
all_three_word_controls,C0213585,לו ויאמר לו,1Sam.20.40,36,30,329,235,no,no,no
all_three_word_controls,C0213589,לו וינשק לו,Gen.29.13,36,30,538,38A,no,no,no
all_three_word_controls,C0213591,לו ויקרא לו,2Kgs.18.4,36,30,389,285,no,no,no
all_three_word_controls,C0213815,לך והקמת לך,Deut.27.2,50,42,651,463,no,no,no
all_three_word_controls,C0213819,לך ותעשי לך,Ezek.16.17,50,42,886,61A,no,no,no
all_three_word_controls,C0213936,למי אוי למי,Prov.23.29,80,68,177,129,no,no,no
all_three_word_controls,C0213938,למי שיח למי,Prov.23.29,80,68,478,33A,no,no,no
all_three_word_controls,C0213984,לעת ערב לעת,Gen.24.11,500,358,1272,8A0,no,no,no
all_three_word_controls,C0214230,מיד אחי מיד,Gen.32.12,54,46,127,A7,no,no,no
all_three_word_controls,C0214290,מלך אסא מלך,1Kgs.15.9,90,76,242,182,no,no,no
all_three_word_controls,C0214334,מן הבהמה מן,Lev.1.2,90,76,237,179,no,no,no
all_three_word_controls,C0214368,מן מעשהו מן,Judg.19.16,90,76,601,421,no,no,no
all_three_word_controls,C0214410,מעם איש מעם,2Sam.3.15,150,106,611,42B,no,no,no
all_three_word_controls,C0214428,מצא אשה מצא,Prov.18.22,131,AB,568,3B4,no,no,no
all_three_word_controls,C0214583,נא ולבשי נא,2Sam.14.2,51,43,450,316,no,no,no
all_three_word_controls,C0214736,נפש תחת נפש,Exod.21.23,430,2BA,1668,B70,no,no,no
all_three_word_controls,C0214785,נשך אכל נשך,Deut.23.20,370,26A,791,55B,no,no,no
all_three_word_controls,C0214881,עד אלעלה עד,Jer.48.34,74,62,284,1B8,no,no,no
all_three_word_controls,C0214969,עד עולמי עד,Isa.45.17,74,62,304,214,no,no,no
all_three_word_controls,C0215031,עוה עוה עוה,Ezek.21.32,81,69,243,183,no,no,no
all_three_word_controls,C0215040,עור בעד עור,Job.2.4,276,1B0,628,444,no,yes,yes
all_three_word_controls,C0215058,עין תחת עין,Exod.21.24,130,AA,1068,750,yes,no,no
all_three_word_controls,C0215083,על אדמתי על,Jonah.4.2,100,84,655,467,no,no,no
all_three_word_controls,C0215168,על הנהרת על,Exod.8.1,100,84,860,5B8,no,no,no
all_three_word_controls,C0215218,על ישראל על,2Kgs.15.20,100,84,741,519,no,no,no
all_three_word_controls,C0215265,על מוקדה על,Lev.6.2,100,84,355,257,no,no,no
all_three_word_controls,C0215377,עלה קרח עלה,2Kgs.2.23,105,89,518,372,no,no,no
all_three_word_controls,C0215424,עם אבתיו עם,2Kgs.14.29,110,92,639,453,no,no,no
all_three_word_controls,C0215483,עמו לקח עמו,Exod.14.6,116,98,370,26A,no,no,no
all_three_word_controls,C0215748,פצע תחת פצע,Exod.21.25,240,180,1288,8B4,no,no,no
all_three_word_controls,C0215760,פרי עשה פרי,Gen.1.11,290,202,955,677,yes,no,no
all_three_word_controls,C0215784,פתח נגד פתח,Ezek.40.13,488,348,1033,721,no,no,no
all_three_word_controls,C0215811,צדק ובת צדק,Ezek.45.10,194,142,796,564,no,no,no
all_three_word_controls,C0215858,קדש הוא קדש,Exod.30.32,404,298,820,584,no,no,no
all_three_word_controls,C0215874,קול סוס קול,2Kgs.7.6,136,B4,398,292,no,yes,yes
all_three_word_controls,C0215875,קול רכב קול,2Kgs.7.6,136,B4,494,352,no,no,no
all_three_word_controls,C0215933,קרח עלה קרח,2Kgs.2.23,308,218,721,501,no,no,no
all_three_word_controls,C0216008,רגל תחת רגל,Exod.21.24,233,175,1274,8A2,no,no,no
all_three_word_controls,C0216032,רחב מפו רחב,Ezek.41.1,210,156,546,396,no,no,no
all_three_word_controls,C0216075,רעה אחת רעה,Ezek.7.5,275,1AB,959,67B,no,no,no
all_three_word_controls,C0216100,רץ לקראת רץ,Jer.51.31,290,202,1311,913,yes,no,no
all_three_word_controls,C0216182,שבר תחת שבר,Lev.24.20,502,35A,1812,1070,no,no,no
all_three_word_controls,C0216323,שם תנצלי שם,Mic.4.10,340,244,1260,890,no,no,no
all_three_word_controls,C0216469,שקר העד שקר,Deut.19.18,600,420,1279,8A7,no,no,no
all_three_word_controls,C0216986,אהב מוסר אהב,Prov.12.1,8,8,322,22A,no,no,no
all_three_word_controls,C0216991,אהב שמחה אהב,Prov.21.17,8,8,369,269,no,no,no
all_three_word_controls,C0217053,או בפשתים או,Lev.13.52,7,7,846,5A6,no,no,no
all_three_word_controls,C0217061,או הפשתים או,Lev.13.59,7,7,849,5A9,no,no,no
all_three_word_controls,C0217126,אור ויהי אור,Gen.1.3,207,153,445,311,no,no,no
all_three_word_controls,C0217238,אחד ודרך אחד,Jer.32.39,13,11,256,194,yes,no,no
all_three_word_controls,C0217239,אחד והיו אחד,Ezek.37.19,13,11,53,45,yes,no,no
all_three_word_controls,C0217240,אחד וחבל אחד,Josh.17.14,13,11,72,60,yes,no,no
all_three_word_controls,C0217243,אחד ומזה אחד,Exod.17.12,13,11,84,70,yes,no,no
all_three_word_controls,C0217244,אחד ושמו אחד,Zech.14.9,13,11,378,276,yes,no,no
all_three_word_controls,C0217255,אחד לעזה אחד,1Sam.6.17,13,11,138,B6,yes,no,no
all_three_word_controls,C0217275,אחד נשיא אחד,Josh.22.14,13,11,387,283,yes,no,no
all_three_word_controls,C0217415,אחת ואמה אחת,Ezek.40.12,409,2A1,870,606,no,yes,yes
all_three_word_controls,C0217663,איש למטה איש,Num.1.4,311,21B,706,4AA,no,no,no
all_three_word_controls,C0218083,אלף למטה אלף,Num.31.4,111,93,306,216,no,no,no
all_three_word_controls,C0218419,אני אסבל אני,Isa.46.4,61,51,215,15B,no,no,no
all_three_word_controls,C0218474,אני עבדך אני,Ps.116.16,61,51,218,162,no,no,no
all_three_word_controls,C0218748,ארץ והכה ארץ,Isa.11.4,291,203,618,436,no,no,no
all_three_word_controls,C0218756,ארץ טובה ארץ,Deut.8.7,291,203,604,424,no,yes,yes
all_three_word_controls,C0219067,אשר בעיר אשר,Lev.25.30,501,359,1284,8B0,no,no,no
all_three_word_controls,C0219074,אשר בשדה אשר,Gen.23.17,501,359,1313,915,no,no,no
all_three_word_controls,C0219188,אשר יאכל אשר,Lev.11.34,501,359,1063,747,no,yes,yes
all_three_word_controls,C0219211,אשר ידעו אשר,Ezek.20.26,501,359,1092,770,no,no,no
all_three_word_controls,C0219366,אשר למלך אשר,Neh.2.8,501,359,1122,796,no,no,no
all_three_word_controls,C0219459,אשר עלהן אשר,Lev.3.4,501,359,1157,805,no,no,no
all_three_word_controls,C0219471,אשר עמכם אשר,Lev.25.45,501,359,1172,818,no,yes,yes
all_three_word_controls,C0219545,אשר קנית אשר,Jer.13.4,501,359,1562,AA2,no,no,no
all_three_word_controls,C0219550,אשר ראית אשר,Deut.1.31,501,359,1613,B25,no,no,no
all_three_word_controls,C0219581,אשר שמעת אשר,2Kgs.19.6,501,359,1812,1070,no,no,no
all_three_word_controls,C0219719,את איביכם את,Judg.3.28,401,295,885,619,no,no,no
all_three_word_controls,C0219989,את הבגדים את,Lev.21.10,401,295,866,602,no,no,no
all_three_word_controls,C0220033,את החטאים את,1Sam.15.18,401,295,875,60B,no,no,no
all_three_word_controls,C0220159,את הנתחים את,Lev.1.8,401,295,1315,917,no,no,no
all_three_word_controls,C0220165,את העברים את,Ezek.39.14,401,295,1129,7A1,no,no,no
all_three_word_controls,C0220272,את זרעתיו את,Ezek.30.22,401,295,1495,A47,no,no,no
all_three_word_controls,C0220350,את ירושלם את,Ezek.16.2,401,295,1388,978,no,no,no
all_three_word_controls,C0220366,את ישמעאל את,Jer.41.13,401,295,1253,885,no,no,no
all_three_word_controls,C0220542,את נחלתנו את,Ps.47.5,401,295,1346,942,no,no,no
all_three_word_controls,C0220605,את עיניכם את,Isa.29.10,401,295,1002,6B6,no,yes,yes
all_three_word_controls,C0220779,את שביתהן את,Ezek.16.53,401,295,1569,AA9,no,no,no
all_three_word_controls,C0220899,אתה נורא אתה,Ps.76.8,406,29A,1069,751,no,no,no
all_three_word_controls,C0220980,אתו וקרע אתו,Lev.13.56,407,29B,1190,832,no,no,no
all_three_word_controls,C0221446,בגן ביתו בגן,2Kgs.21.18,55,47,528,380,no,no,no
all_three_word_controls,C0221451,בד ומכנסי בד,Lev.6.3,6,6,198,146,no,no,no
all_three_word_controls,C0221553,בהר קדשי בהר,Ezek.20.40,207,153,828,590,no,no,no
all_three_word_controls,C0222098,בל יעברון בל,Ps.104.9,32,28,402,296,no,no,no
all_three_word_controls,C0222241,בנו אסיר בנו,1Chr.6.7,58,4A,387,283,no,no,no
all_three_word_controls,C0222259,בנו וירם בנו,1Chr.26.25,58,4A,372,270,no,no,no
all_three_word_controls,C0222261,בנו ונחת בנו,1Chr.6.11,58,4A,580,404,no,yes,yes
all_three_word_controls,C0222262,בנו ותחן בנו,1Chr.7.25,58,4A,580,404,no,yes,yes
all_three_word_controls,C0222263,בנו ותחת בנו,1Chr.7.20,58,4A,930,656,no,yes,yes
all_three_word_controls,C0222264,בנו זכור בנו,1Chr.4.26,58,4A,349,251,no,no,no
all_three_word_controls,C0222266,בנו חגיה בנו,1Chr.6.15,58,4A,142,BA,no,no,no
all_three_word_controls,C0222268,בנו יואש בנו,1Chr.3.11,58,4A,433,301,no,no,no
all_three_word_controls,C0222269,בנו יותם בנו,1Chr.3.12,58,4A,572,3B8,no,no,no
all_three_word_controls,C0222270,בנו ירחם בנו,1Chr.6.12,58,4A,374,272,no,yes,yes
all_three_word_controls,C0222275,בנו מבשם בנו,1Chr.4.25,58,4A,498,356,no,no,no
all_three_word_controls,C0222276,בנו מנשה בנו,1Chr.3.13,58,4A,511,367,no,no,no
all_three_word_controls,C0222278,בנו משמע בנו,1Chr.4.25,58,4A,566,3B2,no,no,no
all_three_word_controls,C0222279,בנו עזיה בנו,1Chr.6.9,58,4A,208,154,no,no,no
all_three_word_controls,C0222281,בנו עשיה בנו,1Chr.6.15,58,4A,501,359,no,no,no
all_three_word_controls,C0222282,בנו ראיה בנו,1Chr.5.5,58,4A,332,238,no,no,no
all_three_word_controls,C0222283,בנו שמעי בנו,1Chr.4.26,58,4A,536,388,no,no,no
all_three_word_controls,C0222300,בני אסנה בני,Ezra.2.50,62,52,240,180,no,no,no
all_three_word_controls,C0222303,בני ארנן בני,1Chr.3.21,62,52,425,2B5,no,no,no
all_three_word_controls,C0222325,בני דליה בני,Ezra.2.60,62,52,173,125,no,no,no
all_three_word_controls,C0222344,בני הקוץ בני,Ezra.2.61,62,52,325,231,no,no,no
all_three_word_controls,C0222355,בני חביה בני,Ezra.2.61,62,52,149,105,no,no,no
all_three_word_controls,C0222356,בני חגבה בני,Ezra.2.45,62,52,142,BA,no,no,no
all_three_word_controls,C0222358,בני חטיל בני,Ezra.2.57,62,52,181,131,no,yes,yes
all_three_word_controls,C0222362,בני חשפא בני,Neh.7.46,62,52,513,369,no,no,no
all_three_word_controls,C0222363,בני טלמן בני,Neh.7.45,62,52,253,191,no,yes,yes
all_three_word_controls,C0222374,בני יעלא בני,Neh.7.58,62,52,235,177,no,no,no
all_three_word_controls,C0222375,בני יעלה בני,Ezra.2.56,62,52,239,17B,no,no,no
all_three_word_controls,C0222398,בני לבנה בני,Ezra.2.45,62,52,211,157,no,no,no
all_three_word_controls,C0222405,בני לעדן בני,1Chr.26.21,62,52,278,1B2,no,no,no
all_three_word_controls,C0222416,בני נציח בני,Ezra.2.54,62,52,282,1B6,no,no,no
all_three_word_controls,C0222418,בני סוטי בני,Neh.7.57,62,52,209,155,no,no,no
all_three_word_controls,C0222419,בני סיעא בני,Neh.7.47,62,52,265,1A1,no,yes,yes
all_three_word_controls,C0222444,בני עקוב בני,Ezra.2.42,62,52,302,212,no,yes,yes
all_three_word_controls,C0222451,בני ציחא בני,Ezra.2.43,62,52,233,175,no,no,no
all_three_word_controls,C0222461,בני קירס בני,Neh.7.47,62,52,494,352,no,no,no
all_three_word_controls,C0222462,בני ראיה בני,Neh.7.50,62,52,340,244,no,no,no
all_three_word_controls,C0222464,בני רפיה בני,1Chr.3.21,62,52,419,2AB,no,no,no
all_three_word_controls,C0222465,בני רצין בני,Ezra.2.48,62,52,474,336,no,no,no
all_three_word_controls,C0222469,בני שמלי בני,Ezra.2.46,62,52,504,360,no,no,no
all_three_word_controls,C0222595,בעל ובית בעל,Josh.13.17,102,86,622,43A,no,no,no
all_three_word_controls,C0222597,בעל ומרי בעל,1Chr.9.40,102,86,460,324,no,no,no
all_three_word_controls,C0222645,בעת אידם בעת,Ezek.35.5,472,334,999,6B3,no,no,no
all_three_word_controls,C0223059,גדול כי גדול,2Chr.2.4,43,37,116,98,no,no,no
all_three_word_controls,C0223110,גוי מקרב גוי,Deut.4.34,19,17,380,278,no,no,no
all_three_word_controls,C0223188,גם בחלמות גם,1Sam.28.6,43,37,572,3B8,no,no,no
all_three_word_controls,C0223294,דבר אליו דבר,Job.2.13,206,152,459,323,no,yes,yes
all_three_word_controls,C0223415,דדן ובני דדן,Gen.25.3,58,4A,184,134,no,no,no
all_three_word_controls,C0223456,דוד ויבן דוד,2Sam.5.9,14,12,96,80,no,no,no
all_three_word_controls,C0223461,דוד ויעל דוד,2Sam.6.17,14,12,144,100,no,no,no
all_three_word_controls,C0223563,דור לנפת דור,Josh.12.23,210,156,980,698,no,no,no
all_three_word_controls,C0223694,האדם כי האדם,1Sam.16.7,50,42,130,AA,no,yes,yes
all_three_word_controls,C0223729,האחד את האחד,2Sam.14.6,18,16,437,305,no,no,no
all_three_word_controls,C0224005,הבל ויהי הבל,Gen.4.2,37,31,105,89,no,no,no
all_three_word_controls,C0224347,הוא טהור הוא,Lev.13.40,12,10,244,184,no,no,no
all_three_word_controls,C0224393,הוא צרעת הוא,Lev.13.15,12,10,784,554,no,no,no
all_three_word_controls,C0224703,הידד לא הידד,Jer.48.33,23,1B,77,65,no,no,no
all_three_word_controls,C0224865,הים וישב הים,Exod.14.27,55,47,428,2B8,no,no,no
all_three_word_controls,C0225474,הנה היום הנה,Ezek.7.10,60,50,181,131,no,yes,yes
all_three_word_controls,C0225481,הנה ואחת הנה,2Kgs.4.35,60,50,535,387,no,no,no
all_three_word_controls,C0225978,הר גבננים הר,Ps.68.16,205,151,565,3B1,yes,no,no
all_three_word_controls,C0226332,ואין שר ואין,Hos.3.4,67,57,634,44A,no,no,no
all_three_word_controls,C0226377,ואל אהרן ואל,Num.12.4,37,31,330,236,no,no,no
all_three_word_controls,C0226393,ואל בניו ואל,Lev.17.2,37,31,142,BA,no,no,no
all_three_word_controls,C0226396,ואל היין ואל,Hag.2.12,37,31,149,105,no,no,no
all_three_word_controls,C0226431,ואל רכבו ואל,Jer.50.37,37,31,302,212,no,yes,yes
all_three_word_controls,C0226432,ואל רשעו ואל,Deut.9.27,37,31,650,462,no,no,no
all_three_word_controls,C0226435,ואל שריה ואל,Jer.50.35,37,31,589,411,no,no,no
all_three_word_controls,C0226685,ואת אביה ואת,Josh.6.23,407,29B,832,594,no,no,no
all_three_word_controls,C0226686,ואת אביך ואת,Josh.2.18,407,29B,847,5A7,no,no,no
all_three_word_controls,C0226688,ואת אהלו ואת,Josh.7.24,407,29B,856,5B4,no,no,no
all_three_word_controls,C0226689,ואת אהרן ואת,Exod.29.4,407,29B,1070,752,no,no,no
all_three_word_controls,C0226690,ואת אוזל ואת,1Chr.1.21,407,29B,858,5B6,no,no,no
all_three_word_controls,C0226691,ואת אופר ואת,Gen.10.29,407,29B,1101,779,no,no,no
all_three_word_controls,C0226693,ואת אחיה ואת,Josh.6.23,407,29B,838,59A,no,no,no
all_three_word_controls,C0226694,ואת אחיו ואת,Gen.47.12,407,29B,839,59B,no,no,no
all_three_word_controls,C0226695,ואת אחיך ואת,Josh.2.18,407,29B,853,5B1,no,no,no
all_three_word_controls,C0226696,ואת אחלב ואת,Judg.1.31,407,29B,855,5B3,no,no,no
all_three_word_controls,C0226705,ואת אפיק ואת,Judg.1.31,407,29B,1005,6B9,no,no,no
all_three_word_controls,C0226706,ואת ארדי ואת,Esth.9.9,407,29B,1029,719,no,no,no
all_three_word_controls,C0226722,ואת אשתו ואת,Gen.12.20,407,29B,1521,A69,no,no,no
all_three_word_controls,C0226726,ואת בדיו ואת,Exod.35.13,407,29B,836,598,no,no,no
all_three_word_controls,C0226739,ואת ביתו ואת,1Kgs.9.15,407,29B,1232,868,no,yes,yes
all_three_word_controls,C0226741,ואת בלעם ואת,1Chr.6.55,407,29B,956,678,no,no,no
all_three_word_controls,C0226748,ואת בניו ואת,Gen.36.6,407,29B,882,616,no,yes,yes
all_three_word_controls,C0226750,ואת בעלת ואת,1Kgs.9.18,407,29B,1316,918,no,no,no
all_three_word_controls,C0226752,ואת בקרם ואת,Gen.34.28,407,29B,1156,804,no,no,no
all_three_word_controls,C0226754,ואת בשרה ואת,Num.19.5,407,29B,1321,921,no,no,no
all_three_word_controls,C0226755,ואת בשרו ואת,Lev.8.17,407,29B,1322,922,no,no,no
all_three_word_controls,C0226756,ואת בשרם ואת,Lev.16.27,407,29B,1356,950,no,no,no
all_three_word_controls,C0226759,ואת גדלו ואת,Deut.5.24,407,29B,857,5B5,no,yes,yes
all_three_word_controls,C0226762,ואת גמזו ואת,2Chr.28.18,407,29B,870,606,no,yes,yes
all_three_word_controls,C0226777,ואת האדם ואת,Jer.21.6,407,29B,864,600,no,no,no
all_three_word_controls,C0226778,ואת האזב ואת,Lev.14.51,407,29B,829,591,no,no,no
all_three_word_controls,C0226783,ואת האיש ואת,Judg.1.25,407,29B,1130,7A2,no,no,no
all_three_word_controls,C0226784,ואת האפד ואת,Exod.29.5,407,29B,904,634,no,no,no
all_three_word_controls,C0226787,ואת הארץ ואת,Hag.2.6,407,29B,1110,786,no,no,no
all_three_word_controls,C0226791,ואת הבשם ואת,Exod.35.28,407,29B,1161,809,no,no,no
all_three_word_controls,C0226792,ואת הבשר ואת,Lev.9.11,407,29B,1321,921,no,no,no
all_three_word_controls,C0226794,ואת הדאה ואת,Lev.11.14,407,29B,829,591,no,no,no
all_three_word_controls,C0226799,ואת הזהב ואת,1Kgs.7.51,407,29B,833,595,no,yes,yes
all_three_word_controls,C0226800,ואת החוי ואת,1Chr.1.15,407,29B,843,5A3,no,no,no
all_three_word_controls,C0226804,ואת החלב ואת,Lev.9.10,407,29B,859,5B7,no,no,no
all_three_word_controls,C0226806,ואת החרש ואת,Jer.24.1,407,29B,1327,927,no,no,no
all_three_word_controls,C0226807,ואת החתי ואת,Gen.15.20,407,29B,1237,871,no,no,no
all_three_word_controls,C0226808,ואת הטוב ואת,Deut.30.15,407,29B,836,598,no,no,no
all_three_word_controls,C0226811,ואת הירח ואת,Deut.4.19,407,29B,1037,725,no,no,no
all_three_word_controls,C0226815,ואת הכוס ואת,Lev.11.17,407,29B,905,635,no,no,no
all_three_word_controls,C0226816,ואת הכיר ואת,2Kgs.16.17,407,29B,1049,735,no,no,no
all_three_word_controls,C0226817,ואת הכסף ואת,2Chr.5.1,407,29B,979,697,no,no,no
all_three_word_controls,C0226818,ואת הכפת ואת,Num.4.7,407,29B,1319,91B,no,no,no
all_three_word_controls,C0226819,ואת הכרי ואת,2Kgs.11.19,407,29B,1049,735,no,no,no
all_three_word_controls,C0226821,ואת המות ואת,Deut.30.15,407,29B,1265,895,no,no,no
all_three_word_controls,C0226825,ואת הנגב ואת,Deut.34.3,407,29B,874,60A,no,no,no
all_three_word_controls,C0226831,ואת העפר ואת,1Kgs.18.38,407,29B,1169,815,no,no,no
all_three_word_controls,C0226832,ואת הפסח ואת,Mal.1.13,407,29B,967,687,no,no,no
all_three_word_controls,C0226834,ואת הפרס ואת,Lev.11.13,407,29B,1159,807,no,no,no
all_three_word_controls,C0226835,ואת הצאן ואת,Gen.32.8,407,29B,960,680,no,no,no
all_three_word_controls,C0226836,ואת הקאת ואת,Lev.11.18,407,29B,1320,920,no,no,no
all_three_word_controls,C0226838,ואת הקרב ואת,Lev.8.21,407,29B,1121,795,no,no,no
all_three_word_controls,C0226842,ואת השחף ואת,Deut.14.15,407,29B,1207,847,no,no,no
all_three_word_controls,C0226843,ואת השלך ואת,Lev.11.17,407,29B,1169,815,no,no,no
all_three_word_controls,C0226845,ואת זיזא ואת,2Chr.11.20,407,29B,839,59B,no,no,no
all_three_word_controls,C0226846,ואת זקנו ואת,Lev.14.9,407,29B,977,695,no,no,no
all_three_word_controls,C0226849,ואת חוקק ואת,1Chr.6.60,407,29B,1028,718,no,no,no
all_three_word_controls,C0226850,ואת חותם ואת,1Chr.7.32,407,29B,1268,898,no,yes,yes
all_three_word_controls,C0226851,ואת חילז ואת,1Chr.6.43,407,29B,869,605,no,no,no
all_three_word_controls,C0226853,ואת חלבה ואת,Judg.1.31,407,29B,859,5B7,no,no,no
all_three_word_controls,C0226854,ואת חמון ואת,1Chr.6.61,407,29B,918,646,no,yes,yes
all_three_word_controls,C0226855,ואת חמור ואת,Gen.34.26,407,29B,1068,750,no,no,no
all_three_word_controls,C0226856,ואת חמרו ואת,Josh.7.24,407,29B,1068,750,no,no,no
all_three_word_controls,C0226859,ואת חצור ואת,2Kgs.15.29,407,29B,1118,792,no,no,no
all_three_word_controls,C0226871,ואת ידלף ואת,Gen.22.22,407,29B,938,662,no,no,no
all_three_word_controls,C0226872,ואת יהצה ואת,1Chr.6.63,407,29B,924,650,no,no,no
all_three_word_controls,C0226877,ואת ינוח ואת,2Kgs.15.29,407,29B,888,620,no,no,no
all_three_word_controls,C0226878,ואת יעוץ ואת,1Chr.8.10,407,29B,990,6A6,no,yes,yes
all_three_word_controls,C0226879,ואת יעלם ואת,Gen.36.5,407,29B,964,684,no,no,no
all_three_word_controls,C0226880,ואת יפתח ואת,1Sam.12.11,407,29B,1312,914,no,no,no
all_three_word_controls,C0226882,ואת יקשן ואת,Gen.25.2,407,29B,1274,8A2,no,no,no
all_three_word_controls,C0226887,ואת ישבק ואת,Gen.25.2,407,29B,1226,862,no,no,no
all_three_word_controls,C0226888,ואת ישנה ואת,2Chr.13.19,407,29B,1179,823,no,no,no
all_three_word_controls,C0226930,ואת כליה ואת,Exod.30.27,407,29B,879,613,no,no,no
all_three_word_controls,C0226931,ואת כליו ואת,Exod.31.8,407,29B,880,614,no,no,no
all_three_word_controls,C0226936,ואת לבנה ואת,1Chr.6.42,407,29B,901,631,no,no,no
all_three_word_controls,C0226938,ואת לכיש ואת,2Chr.11.9,407,29B,1174,81A,no,no,no
all_three_word_controls,C0226940,ואת מגדו ואת,1Kgs.9.15,407,29B,867,603,no,no,no
all_three_word_controls,C0226943,ואת מדין ואת,Gen.25.2,407,29B,918,646,no,yes,yes
all_three_word_controls,C0226944,ואת מואב ואת,Jer.25.21,407,29B,863,5BB,no,no,no
all_three_word_controls,C0226945,ואת מוצא ואת,1Chr.2.46,407,29B,951,673,no,no,no
all_three_word_controls,C0226949,ואת מימי ואת,1Sam.25.11,407,29B,914,642,no,no,no
all_three_word_controls,C0226950,ואת מישא ואת,1Chr.8.9,407,29B,1165,811,no,no,no
all_three_word_controls,C0226955,ואת מלכה ואת,Josh.10.37,407,29B,909,639,no,no,no
all_three_word_controls,C0226964,ואת מרשה ואת,2Chr.11.8,407,29B,1359,953,no,no,no
all_three_word_controls,C0226975,ואת עובל ואת,Gen.10.28,407,29B,922,64A,no,no,no
all_three_word_controls,C0226977,ואת עטרת ואת,Num.32.34,407,29B,1493,A45,no,no,no
all_three_word_controls,C0226978,ואת עיבל ואת,1Chr.1.22,407,29B,926,652,no,no,no
all_three_word_controls,C0226979,ואת עיטם ואת,2Chr.11.6,407,29B,943,667,no,no,no
all_three_word_controls,C0226980,ואת עירו ואת,Josh.8.1,407,29B,1100,778,no,no,no
all_three_word_controls,C0226981,ואת עלמת ואת,1Chr.6.45,407,29B,1354,94A,no,no,no
all_three_word_controls,C0226988,ואת עמרה ואת,Jer.50.40,407,29B,1129,7A1,no,no,no
all_three_word_controls,C0226991,ואת עציו ואת,Lev.14.45,407,29B,990,6A6,no,yes,yes
all_three_word_controls,C0226999,ואת פלדש ואת,Gen.22.22,407,29B,1228,864,no,no,no
all_three_word_controls,C0227002,ואת צאנו ואת,Josh.7.24,407,29B,961,681,no,no,no
all_three_word_controls,C0227003,ואת צביא ואת,1Chr.8.9,407,29B,917,645,no,no,no
all_three_word_controls,C0227004,ואת צרעה ואת,2Chr.11.10,407,29B,1179,823,no,no,no
all_three_word_controls,C0227010,ואת קרתן ואת,Josh.21.32,407,29B,1564,AA4,no,no,no
all_three_word_controls,C0227011,ואת ראשו ואת,Lev.1.12,407,29B,1321,921,no,no,no
all_three_word_controls,C0227017,ואת רכבו ואת,Judg.4.7,407,29B,1042,72A,no,no,no
all_three_word_controls,C0227021,ואת שוכו ואת,2Chr.11.7,407,29B,1146,7B6,no,no,no
all_three_word_controls,C0227022,ואת שומר ואת,1Chr.7.32,407,29B,1360,954,no,no,no
all_three_word_controls,C0227023,ואת שורו ואת,Josh.7.24,407,29B,1326,926,no,no,no
all_three_word_controls,C0227024,ואת שכיה ואת,1Chr.8.10,407,29B,1149,7B9,no,no,no
all_three_word_controls,C0227037,ואת שריו ואת,Jer.24.8,407,29B,1330,92A,no,no,no
all_three_word_controls,C0227043,ואת תימא ואת,Jer.25.23,407,29B,1265,895,no,no,no
all_three_word_controls,C0227044,ואת תענך ואת,Judg.1.27,407,29B,1354,94A,no,no,no
all_three_word_controls,C0227195,ובני גד ובני,Josh.22.30,68,58,143,BB,no,yes,yes
all_three_word_controls,C0227283,וגם גנבו וגם,Josh.7.11,49,41,159,113,no,no,no
all_three_word_controls,C0227294,וגם כחשו וגם,Josh.7.11,49,41,432,300,no,no,no
all_three_word_controls,C0227719,וחם ויפת וחם,Gen.9.18,54,46,604,424,no,yes,yes
all_three_word_controls,C0228910,וכל אחיו וכל,Exod.1.6,56,48,137,B5,no,no,no
all_three_word_controls,C0228973,וכל חילו וכל,Jer.34.1,56,48,166,11A,no,no,no
all_three_word_controls,C0228989,וכל כליו וכל,Num.3.36,56,48,178,12A,no,no,no
all_three_word_controls,C0229077,ולא אחוס ולא,Ezek.24.14,37,31,149,105,no,no,no
all_three_word_controls,C0229132,ולא חבשו ולא,Isa.1.6,37,31,390,286,no,no,no
all_three_word_controls,C0229182,ולא יחמל ולא,Jer.21.7,37,31,162,116,no,no,no
all_three_word_controls,C0229185,ולא יחתו ולא,Jer.23.4,37,31,498,356,no,no,no
all_three_word_controls,C0229189,ולא יישן ולא,Isa.5.27,37,31,444,310,no,no,no
all_three_word_controls,C0229243,ולא יראו ולא,Jer.44.10,37,31,291,203,no,no,no
all_three_word_controls,C0229325,ולא ענתה ולא,1Sam.4.20,37,31,599,41B,no,no,no
