control_id,outer_hebrew,first_reference,consonant_family,first_value,first_base12,full_value,full_base12,completion_hit
C0009217,מידע,Ruth.2.1,דימע,124,A4,749,525,yes
C0009232,מישע,1Chr.2.42,ימעש,420,2B0,1341,939,yes
C0009255,מכמס,Ezra.2.27,כממס,160,114,821,585,yes
C0009273,מכתב,2Chr.21.12,בכמת,462,326,1425,9A9,yes
C0009325,ממזר,Deut.23.3,זממר,287,1BB,1075,757,yes
C0009332,ממלח,Exod.30.35,חלממ,118,9A,737,515,yes
C0009337,ממנו,1Chr.5.2,וממנ,136,B4,773,545,yes
C0009340,ממעי,2Sam.16.11,יממע,160,114,821,585,yes
C0009342,ממצב,Josh.4.3,בממצ,172,124,845,5A5,yes
C0009344,ממרא,Gen.13.18,אממר,281,1B5,1063,747,yes
C0009382,מנעו,Jer.5.25,ומנע,166,11A,833,595,yes
C0009395,מסבי,Ps.140.10,בימס,112,94,725,505,yes
C0009427,מעדי,Ezra.10.34,דימע,124,A4,749,525,yes
C0009442,מעטה,Ezek.21.20,הטמע,124,A4,749,525,yes
C0009444,מעיד,Deut.32.46,דימע,124,A4,749,525,yes
C0009452,מעכו,Ezek.23.3,וכמע,136,B4,773,545,yes
C0009459,מעמד,1Kgs.22.35,דממע,154,10A,809,575,yes
C0009461,מעמי,Esth.8.17,יממע,160,114,821,585,yes
C0009482,מעשי,2Chr.34.25,ימעש,420,2B0,1341,939,yes
C0009494,מפיו,1Sam.17.35,וימפ,136,B4,773,545,yes
C0009496,מפיל,2Kgs.6.5,ילמפ,160,114,821,585,yes
C0009501,מפלי,Job.41.15,ילמפ,160,114,821,585,yes
C0009513,מפרק,1Kgs.19.11,מפקר,420,2B0,1341,939,yes
C0009519,מצאה,Deut.22.27,אהמצ,136,B4,773,545,yes
C0009543,מציב,1Sam.15.12,בימצ,142,BA,785,555,yes
C0009549,מצלו,Ezek.31.12,ולמצ,166,11A,833,595,yes
C0009566,מקדש,1Chr.22.19,דמקש,444,310,1389,979,yes
C0009604,מקשי,2Sam.22.6,ימקש,450,316,1401,989,yes
C0009642,מרסה,Num.33.22,המסר,305,215,1111,787,yes
C0009652,מררי,1Chr.6.4,ימרר,450,316,1401,989,yes
C0009685,משזר,Exod.26.1,זמרש,547,397,1595,B0B,yes
C0009695,משיע,2Sam.22.42,ימעש,420,2B0,1341,939,yes
C0009713,משלת,Isa.63.19,למשת,770,542,2041,1221,yes
C0009719,משמע,1Chr.1.30,ממעש,450,316,1401,989,yes
C0009725,משעי,2Sam.22.3,ימעש,420,2B0,1341,939,yes
C0009746,מתחת,1Kgs.4.12,חמתת,848,5A8,2197,1331,yes
C0009747,מתיו,Deut.33.6,וימת,456,320,1413,999,yes
C0009772,נאור,Ps.76.5,אונר,257,195,1015,707,yes
C0009781,נאפה,Jer.3.8,אהנפ,136,B4,773,545,yes
C0009798,נבוס,Ps.44.6,בונס,118,9A,737,515,yes
C0009804,נבית,Gen.25.13,בינת,462,326,1425,9A9,yes
C0009846,נגרע,Exod.5.11,גנער,323,22B,1147,7B7,yes
C0009847,נגרש,Isa.57.20,גנרש,553,3A1,1607,B1B,yes
C0009852,נדבת,Deut.16.10,בדנת,456,320,1413,999,yes
C0009911,נופל,Job.14.18,ולנפ,166,11A,833,595,yes
C0009914,נוקש,Ps.9.17,ונקש,456,320,1413,999,yes
C0009915,נורא,Exod.15.11,אונר,257,195,1015,707,yes
C0009918,נושע,Deut.33.29,ונעש,426,2B6,1353,949,yes
C0009928,נזרו,Ezek.14.5,וזנר,263,19B,1027,717,yes
C0009940,נחית,Exod.15.13,חינת,468,330,1437,9B9,yes
C0009950,נחני,Gen.24.27,חיננ,118,9A,737,515,yes
C0009961,נחתי,Job.3.26,חינת,468,330,1437,9B9,yes
C0010041,נמשל,Ps.49.13,למנש,420,2B0,1341,939,yes
C0010044,ננוס,2Sam.18.3,וננס,166,11A,833,595,yes
C0010047,נסבו,Gen.19.4,בונס,118,9A,737,515,yes
C0010056,נסכו,2Kgs.16.13,וכנס,136,B4,773,545,yes
C0010058,נסנו,Isa.20.6,וננס,166,11A,833,595,yes
C0010081,נעלי,Ps.60.10,ילנע,160,114,821,585,yes
C0010086,נעמו,Ps.141.6,ומנע,166,11A,833,595,yes
C0010100,נעשו,Isa.46.10,ונעש,426,2B6,1353,949,yes
C0010104,נפול,Esth.6.13,ולנפ,166,11A,833,595,yes
C0010109,נפלו,1Chr.5.22,ולנפ,166,11A,833,595,yes
C0010129,נצבו,Exod.15.8,בונצ,148,104,797,565,yes
C0010169,נקרע,1Kgs.13.3,נעקר,420,2B0,1341,939,yes
C0010172,נראו,2Chr.9.11,אונר,257,195,1015,707,yes
C0010229,נשקו,Ps.2.12,ונקש,456,320,1413,999,yes
C0010237,נתיב,Job.18.10,בינת,462,326,1425,9A9,yes
C0010272,סגור,1Kgs.6.20,גוסר,269,1A5,1039,727,yes
C0010275,סגרו,2Chr.29.7,גוסר,269,1A5,1039,727,yes
C0010288,סוסי,Num.13.11,ויסס,136,B4,773,545,yes
C0010393,עגמה,Job.30.25,גהמע,118,9A,737,515,yes
C0010426,עולל,Jer.6.9,וללע,136,B4,773,545,yes
C0010432,עוני,1Kgs.17.18,וינע,136,B4,773,545,yes
C0010436,עופי,Jer.40.8,ויעפ,166,11A,833,595,yes
C0010438,עורה,Ps.44.24,הוער,281,1B5,1063,747,yes
C0010471,עזרי,1Chr.12.1,זיער,287,1BB,1075,757,yes
C0010478,עיבל,1Chr.1.22,בילע,112,94,725,505,yes
C0010487,עינו,2Sam.13.34,וינע,136,B4,773,545,yes
C0010494,עירא,1Chr.11.28,איער,281,1B5,1063,747,yes
C0010528,עמדי,1Sam.20.14,דימע,124,A4,749,525,yes
C0010549,עממי,Neh.9.24,יממע,160,114,821,585,yes
C0010550,עמנו,1Chr.19.13,ומנע,166,11A,833,595,yes
C0010561,עמשי,1Chr.6.10,ימעש,420,2B0,1341,939,yes
C0010567,ענוי,Amos.8.4,וינע,136,B4,773,545,yes
C0010568,ענוש,Exod.21.22,ונעש,426,2B6,1353,949,yes
C0010593,עצבי,1Chr.4.10,ביעצ,172,124,845,5A5,yes
C0010617,עקבו,Josh.8.13,בועק,178,12A,857,5B5,yes
C0010619,עקוב,Ezra.2.42,בועק,178,12A,857,5B5,yes
C0010622,עקרת,Ps.113.9,עקרת,770,542,2041,1221,yes
C0010631,ערוה,Exod.28.42,הוער,281,1B5,1063,747,yes
C0010644,ערלה,Gen.34.14,הלער,305,215,1111,787,yes
C0010671,עשנו,Exod.19.18,ונעש,426,2B6,1353,949,yes
C0010706,פגעת,Isa.64.4,געפת,553,3A1,1607,B1B,yes
C0010708,פגרי,Ezek.6.5,גיפר,293,205,1087,767,yes
C0010731,פזרו,Joel.4.2,וזפר,293,205,1087,767,yes
C0010747,פימו,Ps.17.10,וימפ,136,B4,773,545,yes
C0010755,פלדש,Gen.22.22,דלפש,414,2A6,1329,929,yes
C0010758,פלטה,Ezek.14.22,הטלפ,124,A4,749,525,yes
C0010812,פרזו,Hab.3.14,וזפר,293,205,1087,767,yes
C0010813,פרחה,Lev.13.20,החפר,293,205,1087,767,yes
C0010830,פרצת,Gen.38.29,פצרת,770,542,2041,1221,yes
C0010843,פשעו,1Kgs.8.50,ועפש,456,320,1413,999,yes
C0010881,צדני,Ezek.32.30,דינצ,154,10A,809,575,yes
C0010923,צירה,Prov.26.14,היצר,305,215,1111,787,yes
C0010928,צללי,Jer.6.4,יללצ,160,114,821,585,yes
C0010935,צמאה,Ps.42.3,אהמצ,136,B4,773,545,yes
C0010981,צרבת,Lev.13.23,בצרת,692,498,1885,1111,yes
C0010986,צריה,1Sam.4.19,היצר,305,215,1111,787,yes
C0010994,צרפת,Obad.1.20,פצרת,770,542,2041,1221,yes
C0011025,קדשי,1Kgs.7.51,דיקש,414,2A6,1329,929,yes
C0011030,קובע,1Sam.17.38,בועק,178,12A,857,5B5,yes
C0011035,קולו,2Sam.3.32,וולק,142,BA,785,555,yes
C0011049,קורה,2Kgs.6.2,הוקר,311,21B,1123,797,yes
C0011065,קינו,2Sam.21.16,וינק,166,11A,833,595,yes
C0011071,קישי,1Chr.6.29,ייקש,420,2B0,1341,939,yes
C0011109,קערת,Num.7.13,עקרת,770,542,2041,1221,yes
C0011113,קפצה,Job.5.16,הפצק,275,1AB,1051,737,yes
C0011128,קראי,Num.16.2,איקר,311,21B,1123,797,yes
C0011139,קרהו,Esth.4.7,הוקר,311,21B,1123,797,yes
C0011159,קרעת,2Kgs.5.8,עקרת,770,542,2041,1221,yes
C0011179,ראות,1Kgs.1.48,אורת,607,427,1715,BAB,yes
C0011186,ראנו,Isa.29.15,אונר,257,195,1015,707,yes
C0011207,רבצת,Deut.22.6,בצרת,692,498,1885,1111,yes
C0011209,רבתה,1Sam.14.30,בהרת,607,427,1715,BAB,yes
C0011256,רחות,Zech.6.5,וחרת,614,432,1729,1001,yes
C0011268,רטפש,Job.33.25,טפרש,589,411,1679,B7B,yes
C0011300,רננה,Job.3.7,הננר,305,215,1111,787,yes
C0011308,רעהו,1Kgs.20.35,הוער,281,1B5,1063,747,yes
C0011314,רעמא,1Chr.1.9,אמער,311,21B,1123,797,yes
C0011329,רפוא,Num.13.9,אופר,287,1BB,1075,757,yes
C0011342,רצפת,Esth.1.6,פצרת,770,542,2041,1221,yes
C0011362,רתחו,Job.30.27,וחרת,614,432,1729,1001,yes
C0011392,שבטו,Job.9.34,בוטש,317,225,1135,7A7,yes
C0011396,שביה,2Chr.28.5,בהיש,317,225,1135,7A7,yes
C0011426,שגבו,Job.5.11,בגוש,311,21B,1123,797,yes
C0011427,שגגה,Eccl.5.5,גגהש,311,21B,1123,797,yes
C0011428,שגוב,1Chr.2.21,בגוש,311,21B,1123,797,yes
C0011454,שובק,Neh.10.25,בוקש,408,2A0,1317,919,yes
C0011457,שוחט,Isa.66.3,וחטש,323,22B,1147,7B7,yes
C0011491,שחוט,1Kgs.10.16,וחטש,323,22B,1147,7B7,yes
C0011492,שחוק,Job.8.21,וחקש,414,2A6,1329,929,yes
C0011495,שחטו,2Kgs.25.7,וחטש,323,22B,1147,7B7,yes
C0011500,שחקו,Job.14.19,וחקש,414,2A6,1329,929,yes
C0011508,שטוב,Eccl.2.26,בוטש,317,225,1135,7A7,yes
C0011509,שטוח,Num.11.32,וחטש,323,22B,1147,7B7,yes
C0011515,שיאו,Job.20.6,אויש,317,225,1135,7A7,yes
C0011517,שיבה,Deut.32.25,בהיש,317,225,1135,7A7,yes
C0011521,שיחה,Jer.18.22,החיש,323,22B,1147,7B7,yes
C0011568,שכנת,Ps.74.2,כנשת,770,542,2041,1221,yes
C0011603,שלמת,Exod.22.25,למשת,770,542,2041,1221,yes
C0011605,שלפי,Judg.20.25,ילפש,420,2B0,1341,939,yes
C0011635,שמלת,Deut.21.13,למשת,770,542,2041,1221,yes
C0011645,שמעי,1Chr.4.26,ימעש,420,2B0,1341,939,yes
C0011714,שפמו,2Sam.19.25,ומפש,426,2B6,1353,949,yes
C0011724,שקדי,Isa.29.20,דיקש,414,2A6,1329,929,yes
C0011727,שקטה,2Chr.13.23,הטקש,414,2A6,1329,929,yes
C0011774,תאבה,1Kgs.20.8,אבהת,408,2A0,1317,919,yes
C0011778,תאהב,2Chr.19.2,אבהת,408,2A0,1317,919,yes
C0011793,תאנה,Gen.3.7,אהנת,456,320,1413,999,yes
C0011802,תארו,1Sam.28.14,אורת,607,427,1715,BAB,yes
C0011814,תבוס,Prov.27.7,בוסת,468,330,1437,9B9,yes
C0011818,תבזה,Ps.51.19,בהזת,414,2A6,1329,929,yes
C0011827,תבכי,1Sam.1.8,ביכת,432,300,1365,959,yes
C0011829,תבלל,Lev.21.20,בללת,462,326,1425,9A9,yes
C0011833,תבני,1Kgs.16.21,בינת,462,326,1425,9A9,yes
C0011838,תבצר,Deut.24.21,בצרת,692,498,1885,1111,yes
C0011856,תגלה,Exod.20.26,גהלת,438,306,1377,969,yes
C0011874,תדמו,Jer.51.6,דומת,450,316,1401,989,yes
C0011886,תהגו,Isa.16.7,גהות,414,2A6,1329,929,yes
C0011889,תהיה,1Chr.11.2,ההית,420,2B0,1341,939,yes
C0011903,תובל,Gen.4.22,בולת,438,306,1377,969,yes
C0011904,תוגה,Prov.14.13,גהות,414,2A6,1329,929,yes
C0011910,תוחל,1Sam.10.8,וחלת,444,310,1389,979,yes
C0011911,תוכו,Lev.11.33,ווכת,432,300,1365,959,yes
C0011914,תוכל,1Kgs.22.22,וכלת,456,320,1413,999,yes
C0011921,תונו,Lev.19.33,וונת,462,326,1425,9A9,yes
C0011930,תורא,Ps.130.4,אורת,607,427,1715,BAB,yes
C0011946,תזכה,Ps.51.6,הזכת,432,300,1365,959,yes
C0011950,תזנה,Amos.7.17,הזנת,462,326,1425,9A9,yes
C0011953,תזעק,Hab.2.11,זעקת,577,401,1655,B5B,yes
C0011967,תחזה,Exod.18.21,הזחת,420,2B0,1341,939,yes
C0011977,תחלו,Ezek.9.6,וחלת,444,310,1389,979,yes
C0011978,תחלל,Lev.18.21,חללת,468,330,1437,9B9,yes
C0012006,תטהר,Lev.15.28,הטרת,614,432,1729,1001,yes
C0012009,תטמא,Deut.21.23,אטמת,450,316,1401,989,yes
C0012023,תכבד,Exod.5.9,בדכת,426,2B6,1353,949,yes
C0012030,תכחד,1Sam.3.17,דחכת,432,300,1365,959,yes
C0012054,תלדי,Gen.3.16,דילת,444,310,1389,979,yes
C0012057,תלהט,Job.41.13,הטלת,444,310,1389,979,yes
C0012066,תלכו,2Kgs.2.18,וכלת,456,320,1413,999,yes
C0012074,תמדו,Ezek.47.18,דומת,450,316,1401,989,yes
C0012078,תמוד,Ezek.45.3,דומת,450,316,1401,989,yes
C0012112,תמשל,Gen.4.7,למשת,770,542,2041,1221,yes
C0012146,תסבו,Josh.6.4,בוסת,468,330,1437,9B9,yes
C0012148,תסוב,Hab.2.16,בוסת,468,330,1437,9B9,yes
C0012191,תעקר,Josh.11.6,עקרת,770,542,2041,1221,yes
C0012203,תפגע,Exod.23.4,געפת,553,3A1,1607,B1B,yes
C0012284,תראו,1Sam.21.15,אורת,607,427,1715,BAB,yes
C0012286,תרבה,Deut.7.22,בהרת,607,427,1715,BAB,yes
C0012299,תריד,Gen.27.40,דירת,614,432,1729,1001,yes
